amount,inv_num,store_name,inv_date,inv_time,age_range,name
149,INV_00D728769C6A5918,麥當勞,2025-11-02,00:59:00,"(17, 21]",餐-六塊雞 / 雪碧-中 / 配-經典大薯
209,INV_00F970BED1B86F62,麥當勞,2025-11-12,23:27:00,"(17, 21]",冰紅茶-中 / F17_雙層牛+麥香雞 / 雪碧-中
279,INV_01079827522BBBF3,麥當勞,2025-10-22,22:44:00,"(17, 21]",配-原腿/排 / 餐-四盎司牛 / 薯條-中 / 冰綠茶-中 / 四塊麥克雞塊
48,INV_010A9BE389E8135D,麥當勞,2025-10-18,01:25:00,"(17, 21]",四塊麥克雞塊
284,INV_01124603C0F055F3,麥當勞,2025-11-10,22:29:00,"(17, 21]",雙層牛家家酒餐 / 歡樂送外送費 / 冰紅茶-中 / @小麥麥玩具 / 增加 牛肉片
284,INV_01124B7ECBFB0919,麥當勞,2025-10-24,00:59:00,"(17, 21]",四塊麥克雞塊 / 二辣腿排 / 玉米湯-大
233,INV_011C36F1A42E3FFE,麥當勞,2025-11-04,00:58:00,"(17, 21]",餐-牛炸蝦堡 / 配-OREO炫冰 / 可樂-中
265,INV_01316C59F2464B82,麥當勞,2025-10-28,22:30:00,"(17, 21]",餐-雙層牛肉 / 勁辣雞腿堡 / 可樂-中 / 配-經典中薯 / 薯條-中
182,INV_013776583984F592,麥當勞,2025-10-19,23:59:00,"(17, 21]",餐-雙層牛肉 / 可樂-中 / 加購四雞塊 / 配-經典中薯
352,INV_013DB0BA7F7FE63C,麥當勞,2025-10-25,22:03:00,"(17, 21]",餐-十塊雞 / 餐-麥香雞 / 玉米湯-大 / 加購辣腿/排 / 玉米湯-小 / 配-經典中薯
272,INV_013EA8C031F8514D,麥當勞,2025-11-14,02:25:00,"(17, 21]",C可樂_小 / 四塊麥克雞塊 / 六塊雞_69 / 麥香雞_50 / C冰紅茶_小 / 玉米湯-大
293,INV_0154F6E2E3E66EC9,麥當勞,2025-10-16,01:12:00,"(17, 21]",薯條-大 / 配-六塊豪吃 / 可樂-中 / 加購藍莓派 / 餐-勁辣雞腿
348,INV_015A2C156D77B513,麥當勞,2025-11-03,01:04:00,"(17, 21]",餐-麥香雞 / 加購六塊雞 / 配-經典中薯 / 二原腿排餐 / 配-經典大薯 / 玉米湯-小
59,INV_017033F33647F718,麥當勞,2025-10-21,23:47:00,"(17, 21]",OREO冰炫風
55,INV_0190630C084384C7,麥當勞,2025-10-29,00:30:00,"(17, 21]",玉米湯-大
89,INV_019643BF401AD6BA,麥當勞,2025-11-14,23:07:00,"(17, 21]",零卡可-小 / HM-四塊雞 / HM配-小薯條
194,INV_0199E8FA91355C98,麥當勞,2025-10-28,01:06:00,"(17, 21]",二原腿排 / *冰蜂蜜奶茶
253,INV_01A51FCE988D0C82,麥當勞,2025-11-07,22:14:00,"(17, 21]",玉米湯-小 / 吉事漢堡_50 / 加購六塊雞 / 配-經典中薯 / C冰紅茶_小 / 餐-雙層牛肉
183,INV_01A544E93BD6B045,麥當勞,2025-10-25,22:43:00,"(17, 21]",餐-雙層牛肉 / 冰奶茶 / 配-六塊豪吃
157,INV_01AA041A5A2AF653,麥當勞,2025-11-02,23:51:00,"(17, 21]",配-經典中薯 / 餐-四盎司牛 / 冰紅茶-中
294,INV_01ABEDEBB4FC4D07,麥當勞,2025-10-22,22:11:00,"(17, 21]",配-經典大薯 / 加購藍莓派 / 餐-#(牛)脆薯堡 / OREO冰炫風 / 冰紅茶-中
283,INV_01AF8C3596043A62,麥當勞,2025-11-14,22:31:00,"(17, 21]",熱奶茶 / F19_大麥克+雙層牛
224,INV_01B08371B388A034,麥當勞,2025-11-15,22:49:00,"(17, 21]",四塊麥克雞塊 / 餐-四盎司牛M / 配-原腿/排 / 零卡可-中
66,INV_01C33BBAB699DEE1,麥當勞,2025-10-23,23:30:00,"(17, 21]",薯條-大
466,INV_01C87ED9D4601479,麥當勞,2025-10-24,22:57:00,"(17, 21]",加購六塊雞 / $2塑膠袋 / 二辣腿排餐 / 玉米湯-大 / 薯條-大 / 雙倍OR冰炫風 / 配-經典中薯
283,INV_01DF322121BED249,麥當勞,2025-11-06,23:03:00,"(17, 21]",餐-六塊雞 / 配-經典中薯 / A10_中可樂1送1 / 加購四雞塊 / $2塑膠袋 / 玉米湯-大 / 餐-麥香雞
175,INV_01E5085521E4B4A8,麥當勞,2025-10-27,23:39:00,"(17, 21]",OREO冰炫風 / 薯條-大 / 藍莓派
109,INV_01F070BF4C0B01FE,麥當勞,2025-11-02,03:00:00,"(17, 21]",十塊麥克雞塊
136,INV_01FAEEF86FDB8C33,麥當勞,2025-11-01,22:43:00,"(17, 21]",薯條-大 / $2塑膠袋 / 六塊麥克雞塊
32,INV_0215006BA7F46DBD,麥當勞,2025-11-07,23:18:00,"(17, 21]",大蛋捲冰
68,INV_02228A85DA0DC080,麥當勞,2025-11-13,22:47:00,"(17, 21]",六塊麥克雞塊
140,INV_022661755666C55D,麥當勞,2025-10-22,23:02:00,"(17, 21]",鮮榨柳丁汁 / 雙層牛肉堡
226,INV_024BEEF07D75D63B,麥當勞,2025-10-17,23:55:00,"(17, 21]",餐-六塊雞 / 冰焦糖奶茶 / 配-經典大薯 / $2塑膠袋 / 加購勁辣翅
324,INV_02556566CB8884A9,麥當勞,2025-11-15,22:21:00,"(17, 21]",配-經典中薯 / 餐-雞炸蝦堡 / 加購六塊雞 / OREO冰炫風 / 玉米湯-小
229,INV_02564FC9DD4CC7CC,麥當勞,2025-10-20,22:31:00,"(17, 21]",可樂-中 / $2塑膠袋 / 配-六塊豪吃 / 餐-雙層麥香雞 / 薯條-中
50,INV_026C5E427E46F649,麥當勞,2025-10-18,00:09:00,"(17, 21]",藍莓派
182,INV_026FA4D1B6959D7F,麥當勞,2025-10-31,23:11:00,"(17, 21]",大蛋捲冰 / OREO冰炫風
318,INV_02740A03E2489C41,麥當勞,2025-11-15,22:47:00,"(17, 21]",配-六塊豪吃 / 餐-雙蝦堡 / 玉米湯-大 / 加購辣腿/排
199,INV_027CA4C09BE92F1C,麥當勞,2025-11-13,00:36:00,"(17, 21]",可樂-中 / 餐-牛炸蝦堡 / 配-經典中薯
153,INV_0286DD5DE3EA5DD1,麥當勞,2025-10-15,00:03:00,"(17, 21]",餐-雙層牛肉 / 配-經典大薯 / 可樂-中
116,INV_028848287DC957B0,麥當勞,2025-10-15,22:49:00,"(17, 21]",薯條-大 / 藍莓派
187,INV_02948DB37EE52AA6,麥當勞,2025-10-30,22:25:00,"(17, 21]",配-經典中薯 / 冰無糖紅-中 / 餐-雙層牛肉 / 加購四雞塊
105,INV_02A3876B78EBA0FC,麥當勞,2025-10-31,01:10:00,"(17, 21]",歡樂送外送費 / 薯條-大
149,INV_02B82EC22E909864,麥當勞,2025-11-09,00:34:00,"(17, 21]",P01_四盎司牛x2
50,INV_02BDC5EBFB3FEC6B,麥當勞,2025-11-02,22:03:00,"(17, 21]",吉事漢堡_50 / C冰無糖紅_小
88,INV_02C3780C4A8ABE1A,麥當勞,2025-11-14,23:22:00,"(17, 21]",薯條-小_50 / A13_中冰紅1送1 / C可樂_小
266,INV_02E5E46E7EF3FCF5,麥當勞,2025-10-17,22:22:00,"(17, 21]",可樂-中 / 冰紅茶-中 / 餐-#(雞)脆薯堡 / OREO冰炫風 / 配-經典中薯
198,INV_02FA434E435B601C,麥當勞,2025-11-06,22:10:00,"(17, 21]",餐-雙層牛肉 / 雪碧-中 / 加購四雞塊 / 配-經典大薯
229,INV_030B6912D50E0D13,麥當勞,2025-11-08,22:38:00,"(17, 21]",F17_雙層牛+麥香雞 / 套餐冰美式咖啡 / 套餐美式咖啡
413,INV_031184B8BC8034FA,麥當勞,2025-11-10,22:24:00,"(17, 21]",C冰紅茶_小 / @盲盒 / 玉米湯-大 / 麥香雞_50 / 餐-雙蝦堡 / 配-經典大薯 / $2塑膠袋
123,INV_031C0BC5CE5EB08F,麥當勞,2025-10-27,02:16:00,"(17, 21]",藍莓派 / 可樂-小 / 薯條-小
94,INV_0320223504FCE9B5,麥當勞,2025-10-31,23:36:00,"(17, 21]",OREO冰炫風 / 增加 吉事片 / 增加 牛肉片
113,INV_03233893E836785F,麥當勞,2025-11-05,02:50:00,"(17, 21]",雪碧-中 / 配-經典中薯 / 餐-麥香雞
143,INV_0326087FCC913C18,麥當勞,2025-11-10,23:33:00,"(17, 21]",冰紅茶-中 / 配-經典中薯 / 餐-大麥克
128,INV_032F3B9A6CC54887,麥當勞,2025-10-16,22:20:00,"(17, 21]",可可布朗冰炫風 / OREO冰炫風
184,INV_0336B28377CE69C1,麥當勞,2025-10-31,23:41:00,"(17, 21]",薯條-小_50 / 雙蝦堡 / C冰紅茶_小
258,INV_0343950D7BA8112A,麥當勞,2025-10-31,00:45:00,"(17, 21]",冰紅茶-中 / 餐-雙四盎司牛 / 配-經典大薯 / 加購勁辣翅
202,INV_03446F7222F891B7,麥當勞,2025-11-03,01:19:00,"(17, 21]",零卡可-中 / 餐-勁辣雞腿 / 配-經典中薯 / 加購六塊雞
280,INV_0345076CD8A951ED,麥當勞,2025-10-17,22:29:00,"(17, 21]",四塊麥克雞塊 / C可樂_小 / OREO冰炫風 / 原腿/排_69 / #(牛)脆薯堡
183,INV_034BD5B844B780B4,麥當勞,2025-11-15,00:56:00,"(17, 21]",冰焦糖奶茶 / 配-經典大薯 / 餐-雙層牛肉
414,INV_03783C080E7BC962,麥當勞,2025-10-31,23:25:00,"(17, 21]",$2塑膠袋 / 可樂-中 / 加購原腿/排 / 冰奶茶 / 餐-雙層牛肉 / 餐-大麥克 / 配-經典中薯 / 蛋捲冰淇淋 / 配-經典大薯
280,INV_037C36941F2020F9,麥當勞,2025-10-22,23:55:00,"(17, 21]",配-經典大薯 / 加購四雞塊 / 藍莓派 / 餐-#(牛)脆薯堡 / 冰紅茶-中
230,INV_038DACE5CCC77DE7,麥當勞,2025-10-17,00:10:00,"(17, 21]",玉米湯-大 / 薯條-大 / 十塊麥克雞塊
49,INV_0390DD3E0AE3BAEC,麥當勞,2025-10-16,22:57:00,"(17, 21]",*勁辣香雞翅
220,INV_03A2DB0F768CBF93,麥當勞,2025-10-27,23:26:00,"(17, 21]",餐-勁辣雞腿 / 配-經典大薯 / 加購六塊雞 / 可樂-中 / $2塑膠袋
224,INV_03A408ABDA2FE95D,麥當勞,2025-10-15,22:18:00,"(17, 21]",加購原腿/排 / 餐-六塊雞 / 配-經典大薯 / 玉米湯-小
203,INV_03B45BC23FDFB53A,麥當勞,2025-10-21,00:05:00,"(17, 21]",餐-麥香魚 / 加購藍莓派 / 玉米湯-大 / 配-辣腿/排
285,INV_03C8F8D3330286B4,麥當勞,2025-11-04,23:03:00,"(17, 21]",*雙層麥香雞 / 加購四雞塊 / 餐-勁辣雞腿 / 冰紅茶-中 / 配-原腿/排
249,INV_03C9F34964A98157,麥當勞,2025-10-22,23:54:00,"(17, 21]",加購四雞塊 / 配-經典中薯 / 玉米湯-小 / 餐-*蕈菇雞腿堡
18,INV_03D952AADEC94DD3,麥當勞,2025-10-17,22:00:00,"(17, 21]",蛋捲冰淇淋
339,INV_03E4F90FCB1A65FD,麥當勞,2025-10-22,02:40:00,"(17, 21]",藍莓派 / 玉米湯-大 / #(雞)脆薯堡 / 勁辣翅(6)
155,INV_03E56ED1C1B8A7A3,麥當勞,2025-10-21,22:21:00,"(17, 21]",玉米湯-大 / C綠茶_小 / 薯條-中 / 吉事漢堡_50
99,INV_03EC46B1BE30031A,麥當勞,2025-11-15,02:57:00,"(17, 21]",P03_六塊雞x2
539,INV_03EE6C69081AF3D1,麥當勞,2025-11-03,01:48:00,"(17, 21]",二原腿排餐 / 零卡可-中 / 配-經典大薯 / 薯條-大 / 十塊麥克雞塊 / *勁辣香雞翅 / 冰焦糖奶茶 / 加購蘋果派
205,INV_03F39E5959B2A3C8,麥當勞,2025-10-18,23:55:00,"(17, 21]",薯條-大 / 冰奶茶 / 歡樂送外送費 / 四塊麥克雞塊
169,INV_03F9B4BAA1C1958A,麥當勞,2025-10-15,23:15:00,"(17, 21]",配-經典中薯 / 雪碧-中 / 餐-#(牛)脆薯堡
277,INV_0404882DE544973E,麥當勞,2025-11-06,22:23:00,"(17, 21]",薯條-大 / $2塑膠袋 / 可樂-中 / F17_雙層牛+麥香雞
203,INV_0412F21DBAD141D6,麥當勞,2025-10-25,00:06:00,"(17, 21]",鮮乳 / HM-四塊雞 / $2塑膠袋 / 蛋捲冰淇淋 / HM-讀本 / 薯條-大 / HM配-蘋果袋
68,INV_041E240864D734D7,麥當勞,2025-10-30,00:54:00,"(17, 21]",蛋捲冰淇淋 / 薯條-中
55,INV_0420BD78B11FBD1E,麥當勞,2025-11-12,22:48:00,"(17, 21]",玉米湯-大
324,INV_04261F8740ACB02E,麥當勞,2025-11-05,22:37:00,"(17, 21]",零卡可-中 / 雪碧-中 / P06_大薯x2 / P01_四盎司牛x2
143,INV_042AB8A27F66F608,麥當勞,2025-10-20,23:44:00,"(17, 21]",配-經典中薯 / 可樂-中 / 餐-大麥克
266,INV_042E1AC73E3D46D5,麥當勞,2025-11-09,00:20:00,"(17, 21]",配-經典中薯 / 餐-麥香魚 / 冰紅茶-中 / P01_四盎司牛x2
248,INV_0431792C0F237678,麥當勞,2025-10-19,23:32:00,"(17, 21]",冰紅茶-中 / 玉米湯-小 / 配-六塊豪吃 / 餐-#(牛)脆薯堡
137,INV_04337725F1D80C1C,麥當勞,2025-10-16,00:14:00,"(17, 21]",冰紅茶-中 / 配-經典中薯 / 餐-雙層牛肉
241,INV_043CD5591CE5C4E1,麥當勞,2025-10-22,22:19:00,"(17, 21]",薯條-大 / 四塊麥克雞塊 / 辣腿/排 / OREO冰炫風
59,INV_0447ECD95CBAFA25,麥當勞,2025-10-17,22:16:00,"(17, 21]",OREO冰炫風
169,INV_04498A5086A48601,麥當勞,2025-10-29,22:04:00,"(17, 21]",玉米湯-大 / 薯條-大 / 四塊麥克雞塊
218,INV_044E70013917ACCC,麥當勞,2025-10-18,01:40:00,"(17, 21]",餐-六塊雞 / 可樂-中 / 玉米湯-小 / 薯條-小 / 配-經典中薯
112,INV_046FC4BA2ECD8C10,麥當勞,2025-10-25,22:52:00,"(17, 21]",薯條-小 / 雙層牛肉堡
486,INV_0474DDB4331B0D5C,麥當勞,2025-11-05,22:19:00,"(17, 21]",$2塑膠袋 / P05_辣腿排x2 / P03_六塊雞x2 / C冰紅茶_小 / P06_大薯x2 / 吉事漢堡_50 / A10_中可樂1送1 / P02_原腿排x2
150,INV_0484226F5E94D778,麥當勞,2025-10-30,00:08:00,"(17, 21]",餐-六塊雞 / 配-經典中薯 / 玉米湯-大
137,INV_049CADC13EE64B3B,麥當勞,2025-11-14,23:23:00,"(17, 21]",餐-雙層牛肉 / 可樂-中 / 配-經典中薯
133,INV_049FB86EBDD31378,麥當勞,2025-11-09,22:25:00,"(17, 21]",冰紅茶-中 / 配-經典中薯 / 餐-六塊雞
59,INV_04B2E733D03519DF,麥當勞,2025-10-16,23:54:00,"(17, 21]",OREO冰炫風
209,INV_04C67DA7FC94F348,麥當勞,2025-10-24,23:32:00,"(17, 21]",玉米湯-小 / 配-辣腿/排 / 薯條-中 / 餐-六塊雞
329,INV_04D50C435CCA46B5,麥當勞,2025-10-29,22:02:00,"(17, 21]",蘋果派_50 / C雪碧_小 / 加購原腿/排 / 餐-雙蝦堡 / 配-經典中薯 / 冰奶茶
147,INV_04DB4701B60A7334,麥當勞,2025-11-13,23:35:00,"(17, 21]",P06_大薯x2 / 四塊麥克雞塊
116,INV_04E6FFF209E54844,麥當勞,2025-11-09,22:51:00,"(17, 21]",可樂-中 / 勁辣雞腿堡
337,INV_04E7C718705F011B,麥當勞,2025-11-01,01:29:00,"(17, 21]",雞塊黃_甜心卡 / 原腿/排_69 / 薯條-大 / 冰焦糖奶茶 / 餐-麥香魚 / C綠茶_小 / 配-經典大薯
239,INV_04EB729505282790,麥當勞,2025-10-19,22:39:00,"(17, 21]",冰蜂蜜紅茶 / 玉米湯-小 / 配-經典中薯 / 餐-十塊雞
116,INV_04EC38AA527543BD,麥當勞,2025-11-04,23:19:00,"(17, 21]",勁辣雞腿堡 / 可樂-中
248,INV_04F8A2DF60B21518,麥當勞,2025-11-02,22:45:00,"(17, 21]",薯條-大 / #(牛)炸蝦堡 / 四塊麥克雞塊
579,INV_04FA19F9F7A1988A,麥當勞,2025-11-02,23:26:00,"(17, 21]",分享配-大薯 / 二中雪碧_1送1 / 雞塊辣腿分享盒
298,INV_0503C210DDE4F5CB,麥當勞,2025-11-03,22:57:00,"(17, 21]",大麥克 / 可樂-中 / 勁辣雞腿堡 / 雪碧-中 / 薯條-大
258,INV_050E1E0B59977126,麥當勞,2025-11-09,00:54:00,"(17, 21]",玉米湯-大 / 玉米湯-小 / P06_大薯x2 / OREO冰炫風
68,INV_0510A955370317E0,麥當勞,2025-10-28,23:37:00,"(17, 21]",六塊麥克雞塊
171,INV_052345827E7B0565,麥當勞,2025-10-27,22:14:00,"(17, 21]",麥香雞_50 / 玉米湯-大 / C零卡可_小 / 薯條-大
235,INV_05301222B7E5150B,麥當勞,2025-10-31,00:31:00,"(17, 21]",勁辣雞腿堡 / OREO冰炫風 / 薯條-中 / 四塊麥克雞塊
125,INV_05464F43BB625AF3,麥當勞,2025-11-10,22:44:00,"(17, 21]",冰奶茶 / 配-經典中薯 / 餐-麥香雞
167,INV_055AC1ED871283EA,麥當勞,2025-10-18,01:47:00,"(17, 21]",餐-麥香魚M / 配-經典中薯 / 可樂-中 / 加購藍莓派
208,INV_05702B1E866B7B65,麥當勞,2025-11-01,00:23:00,"(17, 21]",$2塑膠袋 / 玉米湯-小 / 配-經典中薯 / 餐-雙蝦堡
297,INV_057CAE4805801B24,麥當勞,2025-11-02,01:48:00,"(17, 21]",二中可樂_1送1 / 分享配-大薯 / 勁辣翅分享盒
315,INV_058D5E532F9E363E,麥當勞,2025-11-10,00:27:00,"(17, 21]",四塊麥克雞塊 / 餐-雙蝦堡 / 配-經典中薯 / 加購辣腿/排 / 零卡可-中
149,INV_05946AF23A74FECF,麥當勞,2025-10-18,01:39:00,"(17, 21]",雪碧-中 / 配-經典大薯 / 餐-六塊雞
370,INV_05967AD016B9FE05,麥當勞,2025-10-29,00:21:00,"(17, 21]",配-經典中薯 / 玉米湯-小 / 加購辣腿/排 / 二辣腿排餐 / 薯條-大 / 冰紅茶-中
163,INV_05A15E13FB40A86B,麥當勞,2025-11-01,00:14:00,"(17, 21]",玉米湯-大 / 六塊麥克雞塊 / 蘋果派
86,INV_05A6745D35C7CB8D,麥當勞,2025-10-23,23:37:00,"(17, 21]",冰紅茶-中 / 四塊麥克雞塊
258,INV_05AC36B33337FF42,麥當勞,2025-11-08,23:05:00,"(17, 21]",可樂-中 / 雪碧-中 / *勁辣香雞翅 / F17_雙層牛+麥香雞
235,INV_05B6CB4923EF94A1,麥當勞,2025-10-17,00:33:00,"(17, 21]",加購六塊雞 / 玉米湯-大 / 配-經典大薯 / 餐-大麥克
227,INV_05BBF2D1045871DF,麥當勞,2025-11-02,23:10:00,"(17, 21]",二原腿排餐 / 配-原腿/排 / 玉米湯-大
253,INV_05C6E1E32A02EECE,麥當勞,2025-11-08,00:46:00,"(17, 21]",P03_六塊雞x2 / 玉米湯-大 / P02_原腿排x2
137,INV_05CDFE545210E230,麥當勞,2025-11-06,23:50:00,"(17, 21]",A10_中可樂1送1 / P06_大薯x2
45,INV_05D776AC6A05CE4F,麥當勞,2025-10-22,23:56:00,"(17, 21]",玉米湯-小
207,INV_05DE3401F2F6A4CF,麥當勞,2025-11-01,23:32:00,"(17, 21]",配-經典大薯 / 雪碧-中 / 二辣腿排餐
154,INV_05EDFC34936DCFB1,麥當勞,2025-11-09,22:18:00,"(17, 21]",P06_大薯x2 / 玉米湯-大
99,INV_05F439C8034D0475,麥當勞,2025-11-09,23:59:00,"(17, 21]",P03_六塊雞x2
544,INV_05FA7C9AA4F640FB,麥當勞,2025-11-15,22:13:00,"(17, 21]",配-經典大薯 / 冰紅茶-中 / 餐-麥香魚 / $2塑膠袋 / 餐-勁辣雞腿 / 餐-*蕈菇雞腿堡 / 配-經典中薯 / 冰焦糖奶茶 / 加購六塊雞 / 玉米湯-小
107,INV_05FD749F5515E0B9,麥當勞,2025-11-13,00:03:00,"(17, 21]",四塊麥克雞塊 / OREO冰炫風
99,INV_0604DB174F20BB83,麥當勞,2025-11-11,23:25:00,"(17, 21]",P03_六塊雞x2
182,INV_060BD78257B528A7,麥當勞,2025-10-20,22:26:00,"(17, 21]",加購勁辣翅 / 餐-雙層牛肉 / 冰紅茶-中 / 配-經典中薯
233,INV_0617E349E83208CD,麥當勞,2025-11-14,22:12:00,"(17, 21]",餐-二辣腿排M / 歡樂送外送費 / 可樂-中 / 配-經典中薯
187,INV_061993EE6E93CF8D,麥當勞,2025-10-19,22:04:00,"(17, 21]",餐-#(牛)脆薯堡 / 雪碧-中 / 配-經典大薯 / $2塑膠袋
245,INV_061ECF878915380F,麥當勞,2025-11-10,01:06:00,"(17, 21]",玉米湯-大 / P06_大薯x2 / 冰無糖紅-中 / 四塊麥克雞塊
116,INV_064C7CAD8ADDD21E,麥當勞,2025-10-29,23:14:00,"(17, 21]",麥香雞 / 冰奶茶 / 蛋捲冰淇淋
165,INV_064F940DA550F2B0,麥當勞,2025-10-17,23:22:00,"(17, 21]",雙倍OR冰炫風 / 藍莓派 / 薯條-中
158,INV_0653B9CEC0FE4510,麥當勞,2025-11-06,22:16:00,"(17, 21]",P03_六塊雞x2 / OREO冰炫風
192,INV_067F626997CAFBAC,麥當勞,2025-11-09,22:36:00,"(17, 21]",餐-雙層牛肉 / 冰紅茶-中 / 玉米湯-大 / 配-經典中薯
185,INV_0688320F61CF9BC1,麥當勞,2025-10-16,01:18:00,"(17, 21]",餐-#(雞)脆薯堡 / 配-經典大薯 / 冰紅茶-中
162,INV_0689A58AEE5D6F72,麥當勞,2025-11-07,22:03:00,"(17, 21]",配-原腿/排 / 餐-勁辣雞腿 / 冰紅茶-中
177,INV_068FE9A645068C7B,麥當勞,2025-10-27,01:45:00,"(17, 21]",冰紅茶-中 / 餐-勁辣雞腿 / 配-六塊豪吃
443,INV_069B34142EE2ADD0,麥當勞,2025-10-19,22:44:00,"(17, 21]",餐-#(雞)脆薯堡 / 配-六塊豪吃 / 加購藍莓派 / C熱紅茶 / 餐-起司三牛堡 / 玉米湯-大 / 麥香魚_69
100,INV_06A06F28DB4FF5F9,麥當勞,2025-10-15,22:14:00,"(17, 21]",薯條-小_50 / C可樂_小 / C冰紅茶_小 / 麥香雞_50
48,INV_06ACA5CFB532B16E,麥當勞,2025-11-05,23:01:00,"(17, 21]",四塊麥克雞塊
277,INV_06B19865D9FB49BD,麥當勞,2025-11-14,23:59:00,"(17, 21]",餐-牛炸蝦堡 / 配-經典大薯 / 加購四雞塊 / 玉米湯-大
282,INV_06DEBD94C5F9CBE4,麥當勞,2025-10-31,22:33:00,"(17, 21]",玉米湯-小 / 餐-雙層麥香雞 / 配-經典大薯 / 可樂-中 / 餐-大麥克
416,INV_06F065D632F92A33,麥當勞,2025-11-12,00:10:00,"(17, 21]",$2塑膠袋 / *冰蜂蜜奶茶 / 薯條-中 / 加購四雞塊 / F19_大麥克+雙層牛
147,INV_06FE7DCAFD0D13CC,麥當勞,2025-11-14,23:08:00,"(17, 21]",餐-麥香雞 / 配-六塊豪吃 / 可樂-中
128,INV_07236686B8B36D4B,麥當勞,2025-11-01,22:15:00,"(17, 21]",薯條-中 / 勁辣雞腿堡
366,INV_072BAE66C6AFA490,麥當勞,2025-11-12,01:50:00,"(17, 21]",勁辣雞腿堡 / P06_大薯x2 / 麥香魚 / A10_中可樂1送1 / P03_六塊雞x2
66,INV_074070A3DB2F87B1,麥當勞,2025-10-25,23:38:00,"(17, 21]",薯條-大
220,INV_07466BEF873284E9,麥當勞,2025-11-08,23:26:00,"(17, 21]",P05_辣腿排x2 / 玉米湯-大 / 薯條-大
